,author,comment_count,language,received_for_free,recommendationid,review,steam_purchase,timestamp_created,timestamp_updated,voted_up,votes_funny,votes_up,weighted_vote_score,written_during_early_access
21,"{'steamid': '76561198349239215', 'num_games_owned': 54, 'num_reviews': 4, 'playtime_forever': 42738, 'playtime_last_two_weeks': 858, 'last_played': 1554840390}",0,english,False,50049773,"This game has got to good to worst Bluehole let this game gone to trash for all the greediness and laziness, you may think this game is fun and all but to be honest this game literally has got a lot of situation they need to fix.

NEGATIVE 

1. Hackers
2. Cheaters
3. Bugs
4. Errors
5. Unrealistic shooting accuracy, running speed, and jumping 
6. Content way to expensive $2.50 for a key this game ain't free they expected us to pay a lot see the greediness
7. Every update put small amount of items and waste a lot of space of GB

For your own saftey if you brought this game never wright any negative stuff in the discussion page because there a lot of people will always talk trash to you instead of talking about the game, you may see i play a lot of hours on this game it because whenever i'm bored i just play this game for others i've play for fun. The developers which is Bluehole never fixes the issues they only fix it when they put out the big updates never right away and yet this game is full of hackers, save your money for some other game that you like, i'm not ordering you to i'm giving you an advice if you don't believe me see other reviews there alot of negative reviews than posotive.

Winner Winner Chicken Dinner, i guess.

I'll give it a 5/10 Platinum",True,1554828295,1554870622,False,0,2,0,False
22,"{'steamid': '76561198440834484', 'num_games_owned': 3, 'num_reviews': 1, 'playtime_forever': 6908, 'playtime_last_two_weeks': 587, 'last_played': 1554750591}",0,english,False,50049414,not bad tbh,True,1554826641,1554826641,True,0,0,0,False
23,"{'steamid': '76561198423297842', 'num_games_owned': 1, 'num_reviews': 1, 'playtime_forever': 61345, 'playtime_last_two_weeks': 1898, 'last_played': 1554827984}",0,english,False,50048498,"I wish I could recommend this game as at its best it is the most addictive, immersive and engaging game i've played in years but the unfortunate truth is that the Devs are money grabbing trash who don't give a stuff about player experiences and instead farm out ridiculous skins and passes among other micro transaction garbage to fill their pockets before they inevitably kill the game. The servers are grim and the physics and movement mechanics still janky and frustrating. The most infuriating problem by a magnitude is hackers still being rife and are not dealt with in any meaningful way (probably because they are the main source of new accounts and therefore profitable) almost every game bar a scarce few are marred by cheaters (the overwhelming majority of which are chinese) which is pushing me to walking away from the game completely for the sake of my own sanity. Perhaps if the Devs actually give a damn about the playerbase and fix the issues that have plagued the game since the beginning instead of adding nonsense skins I will be able to change this review but I wont hold my breath.",True,1554822845,1554822845,False,0,1,0,False
24,"{'steamid': '76561198848633382', 'num_games_owned': 12, 'num_reviews': 1, 'playtime_forever': 5189, 'playtime_last_two_weeks': 1340, 'last_played': 1554827360}",0,english,False,50048166,Great game lots of changes,True,1554821502,1554821502,True,0,0,0,False
25,"{'steamid': '76561198102158917', 'num_games_owned': 15, 'num_reviews': 1, 'playtime_forever': 154, 'playtime_last_two_weeks': 154, 'last_played': 1554849728}",0,english,False,50047869,will not load,True,1554820293,1554820293,False,1,1,0,False
26,"{'steamid': '76561198240021526', 'num_games_owned': 36, 'num_reviews': 1, 'playtime_forever': 670, 'playtime_last_two_weeks': 16, 'last_played': 1554817962}",0,english,False,50047281,its ass full of sweaty try hards,True,1554817973,1554817973,False,0,1,0,False
27,"{'steamid': '76561198191764865', 'num_games_owned': 30, 'num_reviews': 4, 'playtime_forever': 4569, 'playtime_last_two_weeks': 0, 'last_played': 1547024269}",0,english,False,50047256,downright terrible.,True,1554817869,1554817869,False,1,1,0,False
28,"{'steamid': '76561198400012312', 'num_games_owned': 2, 'num_reviews': 1, 'playtime_forever': 12386, 'playtime_last_two_weeks': 2918, 'last_played': 1554831173}",0,english,True,50045874,"Best Game Ever
",True,1554812029,1554812029,True,0,0,0,False
29,"{'steamid': '76561198417706274', 'num_games_owned': 2, 'num_reviews': 2, 'playtime_forever': 158, 'playtime_last_two_weeks': 158, 'last_played': 1554869244}",0,english,False,50045531,nice :),True,1554810556,1554810556,True,0,0,0,False
30,"{'steamid': '76561198426291268', 'num_games_owned': 13, 'num_reviews': 1, 'playtime_forever': 11612, 'playtime_last_two_weeks': 2693, 'last_played': 1554841279}",0,english,False,50044239,amazing game,True,1554803968,1554803968,True,0,2,0.523809552192687988,False
